date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-08-27 06:55:03,NPP_GH,,0,16,85,"NPP’s health infrastructure record has seen the completion of the 597 Bed University of Ghana Teaching Hospital. #NPPInvestmentInHealth",,,#NPPInvestmentInHealth,1298876665611915264,https://twitter.com/NPP_GH/status/1298876665611915264
2020-08-27 06:50:02,NPP_GH,,2,11,100,"NPP’s health infrastructure record has seen the completion of the Dodowa District Hospital. #NPPInvestmentInHealth",,,#NPPInvestmentInHealth,1298875402082021376,https://twitter.com/NPP_GH/status/1298875402082021376
2020-08-27 06:45:07,NPP_GH,,0,8,53,"NPP’s health infrastructure record has seen the completion of the Ga East Municipal Hospital. #NPPInvestmentInHealth",,,#NPPInvestmentInHealth,1298874165085327360,https://twitter.com/NPP_GH/status/1298874165085327360
2020-08-27 06:40:02,NPP_GH,,1,11,67,"NPP’s health infrastructure record has seen the construction of offices for ministry of health and regulatory bodies at Ridge in Accra. #NPPInvestmentInHealth",,,#NPPInvestmentInHealth,1298872886426566658,https://twitter.com/NPP_GH/status/1298872886426566658
2020-08-27 06:35:02,NPP_GH,,1,8,59,"NPP’s health infrastructure record has seen the completion of the rehabilitation and upgrade of Tamale Teaching Hospital Phase 2. #NPPInvestmentInHealth",,,#NPPInvestmentInHealth,1298871626533134337,https://twitter.com/NPP_GH/status/1298871626533134337
2020-08-27 06:30:17,NPP_GH,,0,13,69,"NPP’s health infrastructure record has seen the completion of polyclinics at Ekumfi Nuakwa, Etsii Sunkwa, Bimpong Efua, Gomoa Potsin, Gyamera, Mankrong, Akonfude, all in the Central Region. #NPPInvestmentInHealth",,,#NPPInvestmentInHealth,1298870432632889345,https://twitter.com/NPP_GH/status/1298870432632889345
2020-08-27 06:25:02,NPP_GH,,3,14,100,"NPP’s health infrastructure record has seen the completion of polyclinic at Dawuranpong in the Central Region. #NPPInvestmentInHealth",,,#NPPInvestmentInHealth,1298869111326470145,https://twitter.com/NPP_GH/status/1298869111326470145
2020-08-27 06:20:03,NPP_GH,,1,5,37,"NPP’s health infrastructure record has seen the completion of polyclinic at Besease in the Central Region. #NPPInvestmentInHealth",,,#NPPInvestmentInHealth,1298867855123984384,https://twitter.com/NPP_GH/status/1298867855123984384
2020-08-27 06:15:03,NPP_GH,,2,10,63,"NPP’s health infrastructure record has seen the procurement and distribution of 307 well-equipped ambulances under the $1million per constituency policy. #NPPInvestmentInHealth",,,#NPPInvestmentInHealth,1298866597113798656,https://twitter.com/NPP_GH/status/1298866597113798656
2020-08-27 06:10:02,NPP_GH,,1,12,53,"NPP’s infrastructure record has seen the construction of 4 drone Centres at Omaneko, Walewale, Mampong and Sefwi Wiaso delivering 79,800 medical products to 945 health facilities and 2,500 Covid samples to testing Centres. #NPPInvestmentInHealth",,,#NPPInvestmentInHealth,1298865337035829248,https://twitter.com/NPP_GH/status/1298865337035829248
2020-08-27 06:05:03,NPP_GH,,14,52,183,"NPP’s infrastructure record has seen the construction of the first ever Infectious Disease Centre in Ghana in partnership with the private sector. #NPPInvestmentInHealth",,,#NPPInvestmentInHealth,1298864080162357248,https://twitter.com/NPP_GH/status/1298864080162357248
2020-08-27 06:00:16,NPP_GH,,1,10,47,"NPP’s infrastructure record has seen the construction of a state of the art theatre block fully completed. #NPPInvestmentInHealth",,,#NPPInvestmentInHealth,1298862879647641600,https://twitter.com/NPP_GH/status/1298862879647641600
2020-08-27 05:55:02,NPP_GH,,2,21,63,"NPP’s infrastructure record has seen the construction of 68 staff accommodation completed and 43 ongoing. #NPPInvestmentInHealth",,,#NPPInvestmentInHealth,1298861561642209280,https://twitter.com/NPP_GH/status/1298861561642209280
2020-08-27 05:50:03,NPP_GH,,1,7,44,"NPP’s infrastructure record has seen the construction of 4 poly clinics completed and 3 ongoing. #NPPInvestmentInHealth",,,#NPPInvestmentInHealth,1298860305628487680,https://twitter.com/NPP_GH/status/1298860305628487680
2020-08-27 05:45:04,NPP_GH,,2,2,34,"NPP’s infrastructure record has seen the construction of 36 maternity blocks and wards/female blocks and wards with 19 ongoing. #NPPInvestmentInHealth",,,#NPPInvestmentInHealth,1298859052164841473,https://twitter.com/NPP_GH/status/1298859052164841473
