date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-08-05 11:08:42,OfficialNDCGh,,5,22,124,"Mr. Mahama will meanwhile spend the rest of the day, and the next 4 days visiting a number of registration centres and communities in the Savanna, Northern, Oti and Volta Regions. He will also pay courtesy calls on a number of traditional rulers.",,,,1290967965198954496,https://twitter.com/OfficialNDCGh/status/1290967965198954496
2020-08-05 11:08:41,OfficialNDCGh,,15,56,476,"Flagbearer of @OfficialNDCGh , John Mahama @JDMahama will at (approx.) 1.00pm today register for a voter ID card at the Bole District Assembly office. Mr. Mahama will speak to the media present after the registration process.",,@OfficialNDCGh @JDMahama,,1290967959846957062,https://twitter.com/OfficialNDCGh/status/1290967959846957062
2020-08-05 11:01:39,OfficialNDCGh,,4,49,344,"Our thoughts and prayers are with the government and people of #Lebanon. We pray for healing and strength for the injured and comfort for all those who lost their friends, family and loved ones.",,,#Lebanon,1290966190211452929,https://twitter.com/OfficialNDCGh/status/1290966190211452929
2020-08-04 09:08:59,OfficialNDCGh,,41,131,486,"The unending intimidation and desperation of the government is summed up in this news reportpic.twitter.com/q0Soz87IQv",,,,1290575449190469632,https://twitter.com/OfficialNDCGh/status/1290575449190469632
2020-08-03 05:56:58,OfficialNDCGh,,16,56,531,"#JMandJane2020pic.twitter.com/zf6ifP3Xvu",,,#JMandJane2020pic,1290164739599937537,https://twitter.com/OfficialNDCGh/status/1290164739599937537
2020-08-02 12:46:37,OfficialNDCGh,,19,33,353,"#JMandJane2020pic.twitter.com/tilq3kxMHX",,,#JMandJane2020pic,1289905442286637056,https://twitter.com/OfficialNDCGh/status/1289905442286637056
2020-08-01 14:53:29,OfficialNDCGh,,17,35,345,"#JMandJane2020pic.twitter.com/ieiTJaSyjH",,,#JMandJane2020pic,1289574981869793285,https://twitter.com/OfficialNDCGh/status/1289574981869793285
2020-07-31 16:51:45,OfficialNDCGh,,58,55,413,"#ImWithHer #RepresentationMatters #InclusionMatterspic.twitter.com/5OFOQxpRVE",,,#ImWithHer #RepresentationMatters #InclusionMatterspic,1289242358836535296,https://twitter.com/OfficialNDCGh/status/1289242358836535296
2020-07-31 12:30:13,OfficialNDCGh,,5,12,106,"Within one year. I promise! We shall not put up any long-term payment plans that will further worsen the living conditions of the victims.” ~ John Dramani Mahama @JDMahama",,@JDMahama,,1289176540702314496,https://twitter.com/OfficialNDCGh/status/1289176540702314496
2020-07-31 12:30:11,OfficialNDCGh,,58,46,395,"”I weep for the many who have lost their jobs, the many who have lost their businesses, the many who have lost their livelihood, among others. I pledge on behalf of the NDC that we shall pay within one year all who have funds locked up with the collapsed financial institutions ..",,,,1289176530220748801,https://twitter.com/OfficialNDCGh/status/1289176530220748801
